PRODUCT_NAME,UNIT_OF_MEASURE
5 HOUR XTRA GRAPE 1.93 OZ,1
B - PB & HONEY SAMMICH,1
B - RUDY FARMS - SAUSAGE AND BISCUIT TWIN,1
BANANAS - FRESH,1
BOBOS PB&J GRAPE 2.1 OZ,1
BODY ARMOR STRWBRY BANANA 16 OZ,1
BR ESPRESSO W/ CREAM 11 OZ,1
Bumble Bee Tuna Salad 3.5oz,1
CELSIUS ORANGE ENERGY 12 OZ,1
CELSIUS PEACH VIBE 12 OZ,1
DIET MOUNTAIN DEW 20 OZ,1
DOLE STRWBRY LEMONADE 20 OZ,1
DOVE BAR DARK CHOC 1.44 OZ,1
Dr Pepper 12oz Can,1
F - TURKEY HAM CHS HM WRAP,1
F- WHITE CASTLE BREAKFAST SANDWICH,1
FAIRLIFE 2% STRAWBERRY MILK 14 OZ,1
FL Doritos Spicy Sweet Chili LSS 1.75oz Bag,1
GRANDMA'S MINI VN 3.7 OZ,1
Haribo Gold-Bears Gummi Candy 4oz.,1
HY Hersheys Milk Chocolate w Almonds 1.45oz Each,1
KF - NY MIXED BERRY CHSCAKE CUP,1
Kraft Mac & Cheese Original Cups 2.05 oz.,1
LSS-BRIM'S BBQ PORK RINDS,1
LSS-CRUNCHY CHEETO,1
LSS-DORITOS COOL RANCH,1
LSS-FLAMIN HOT CHEETOS,1
LSS-RUFFLES CHDR & SOUR CREAM,1
M&M PLAIN,1
MF-BOSTON CREME HONEY BUN,1
MF-CHOCOLATE MINI DONUTS,1
MINUTE MAID FRUIT PUNCH 20 OZ,1
MOUNTAIN DEW ZERO 20 OZ,1
ORANGE FANTA 20 OZ,1
Pillsbury Mini SOFT BAKED Chocolate Chip Cookies Bag 3oz,1
Pillsbury Soft Baked Confetti Cookies 3oz,1
POP CHIP BBQ .8 OZ,1
SKITTLES ORIG GUMMIES 5.8 OZ,1
STARBUCKS DOUBLESHOT + ENG-VAN 15 OZ,1
STONIES PEPR/CHS/JAL .98 OZ,1
Sweet Serenity Choc Chip 3 oz,1
SWEET SERENITY CHOC CHIP COOKIES 3 OZ,1
YOO HOO CHOC. 11 OZ CANS,1
