NAME,OCS_NAME,LONG_NAME
3 Mskt DkChocMnt 1.24oz,3 Mskt DkChocMnt 1.24oz,3 Musketeers Dark Chocolate Mint (1.24oz)
,Costco Choc Mini 4.69lb,Costco Chocolate Mini (4.69lb)
Dove Dk Choc Bars 1.3oz,Dove Dk Choc Bars 1.3oz,Dove Dark Chocolate Bars (1.3oz)
Fishers ChocPnut 3.5oz,Fishers ChocPnut 3.5oz,Fisher's Chocolate Peanuts (3.5oz)
HariboGummiGoldBear2oz,HariboGummiGoldBear2oz,Haribo Gummi Gold-Bears (2oz)
,Heide Gummi Bears 1.4oz,Heide Gummi Bears (1.4oz)
Hrshy Mlk Choc 2.1oz,Hrshy Mlk Choc 2.1oz,Hersheys Milk Chocolate (2.1oz)
Hrshy Choc Almd 1.45oz,Hrshy Choc Almd 1.45oz,Hersheys Milk Chocolate with Almonds (1.45oz)
Hrshy Choc Almd 1.85oz,Hrshy Choc Almd 1.85oz,Hersheys Milk Chocolate with Almonds (1.85oz)
Hrshy Milk Duds 1.85oz,Hrshy Milk Duds 1.85oz,Hersheys Milk Duds (1.85oz)
Hrshy Choc Almd 2.1 oz,Hrshy Choc Almd 2.1 oz,Hersheys Milk Chocolate with Almonds (2.1oz)
,Kirkland Choc Mix 90oz,Kirkland Signature All Chocolate Mix (90oz)
M&M Dk Choc 1.69oz,M&M Dk Choc 1.69oz,M&M Dark Chocolate (1.69oz)
Milky Way Bar 2.05oz,Milky Way Bar 2.05oz,Milky Way (2.05oz)
Orig Gummi Bears 4.5oz,Orig Gummi Bears 4.5oz,Original Gummi Factory Gummi Bears (4.5oz)
Sconza Gummy Bears 4oz,Sconza Gummy Bears 4oz,Sconza Gummy Bears (4oz)
,zzzSkittles Choc Mix 2oz,zzzSkittles Chocolate Mix (2oz)
,Gwest Low Fat Mlk 4ltr,"Goodwest Low Fat Milk (4ltr., Box of 2)"
,Gwest Whl Mlk 4ltr,Goodwest Whole Milk (4ltr)
,zzzParmalat 2% Mlk 12oz,zzzParmalat 2% Milk (12oz)
,zzzVaries 1% Mlk .5gal,zzzVaries 1% Milk (.5gal)
,zzzVaries 2% Mlk .5gal,zzzVaries 2% Milk (.5gal)
,zzzVaries Skim Mlk .5gal,zzzVaries Skim Milk (.5gal)
,zzzVaries Whl Mlk .5gal,zzzVaries Whole Milk (.5gal)
,WgP CafeXpres NF Mlk 22oz,Wolfgang Puck Cafe Xpress Non-Fat Milk (22oz)
,Chefs Review Hny 12g,Chefs Review Honey (12g)
,Clover Hny 12oz,Clover Honey (12oz)
Heinz533700HnyPch 200ct,Heinz533700HnyPch 200ct,Heinz 533700 Honey Pouch (Box of 200)
,Hse Recipe Clover Hny Bear 12oz,House Recipe Clover Honey Bear (12oz)
,Lky Clover Hny Bear12oz,Lucky Clover Honey Bear (12oz)
,"Dart 9PHQ Hny Lam Fm Plt 9""/125","Dart 9PHQ Honey Laminated Foam Plate (9"", Bag of 125)"
,Bglo Grn T w/Peach 20ct,Bigelow Green Tea with Peach (Box of 20)
,Celes HnyLmnGinseng Grn T 25ct,Celestial Honey Lemon Ginseng Green Tea (Box of 25)
Honest T OolaPch 16.9oz,Honest T OolaPch 16.9oz,Honest Tea Peach Oo-la-long (16.9oz)
,Supr Pickwick Pch Harvest T 20ct,Pickwick Peach Harvest Herbal Tea (Box of 20)
,Supr Pickwick Purely Pch T 20ct,Pickwick Purely Peach Black Tea (Box of 20)
,zzzAccor Prem Hot Choc 1lb,zzzAccor Premium Hot Chocolate (1lb)
,zzzButternut Instant Hot Choc,zzzButternut Instant Hot Chocolate
,zzzButternut Instant Hot Choc SF,zzzButternut Instant Hot Chocolate Sugar-Free
,Ellis Choc 2lb,Ellis Chocolate (2lb)
,FL Choc .62oz,FLAVIA Chocolate (.62oz)
,zzzFL Dove Hot Choc A117,zzzFLAVIA Dove Hot Chocolate A117
,FL Mlky Way Swl .08oz/20,"FLAVIA Milky Way Swirl (.08oz, Box of 20)"
,Gstone Wht Choc Carm Cap 2lb,Grindstone White Chocolate Caramel Cappuccino (2lb)
,J Traders Hot Choc 2lb,J. Traders Chocolate Trance (2lb)
,JT Hot Choc 2lb,Java Traders Hot Chocolate (2lb)
,Nstl Hot Choc No Sugr .52oz/30,"Nestle Hot Chocolate No Sugar (.52oz, Box of 30)"
,Nstl Hot Choc .71oz,Nestle Rich Hot Chocolate (.71oz)
,Nstl HotChoc Mrsh .71oz,Nestle Rich Hot Chocolate with Marshmallows (.71oz)
SwsMsHotChocNoSgr.55oz,SwsMsHotChocNoSgr.55oz,Swiss Miss Hot Chocolate No Sugar (.55oz)
,Sws Ms Hot Choc 1oz,Swiss Miss Hot Chocolate (1oz)
,Timothys Wht Hot Choc K-Cup24ct,Timothy's White Hot Chocolate K-Cup (Box of 24)
,Sobe Engy BIB 3 gal,Sobe Energy Bag in Box (3gal)
,Knotts Bry Hny Pks,Knotts Berry Honey Packs
,Portion Pack Hny 9g/200,"Portion Pack Honey (9g, Box of 200)"
,Sue Bee Hny 8gm/200,SueBee Honey 8gm (200ct)
,ALPSNK Dk Choc 1.5oz,Alpsnack Dark Chocolate (1.5oz)
Austin Chs Crkr 1.38oz,Austin Chs Crkr 1.38oz,Austin Cheese Cracker with Cheddar Cheese (1.38oz)
AustinChsPBCrkr 1.38oz,AustinChsPBCrkr 1.38oz,Austin Cheese Peanut Butter Crackers (1.38oz)
OvenBkdDoritosNChs.75oz,OvenBkdDoritosNChs.75oz,Oven Baked Doritos Nacho Cheese (.75oz)
OvenBkdDoritoNCh1.375oz,OvenBkdDoritoNCh1.375oz,Oven Baked Doritos Nacho Cheese (1.375oz)
OvenBkd LaysBBQ 1.125oz,OvenBkd LaysBBQ 1.125oz,Oven Baked Lays BBQ (1.125oz)
,OvenBkd Lays BBQ Crisp LSS,Oven Baked Lays BBQ Crisp
OvenBkd Lays BBQ .875oz,OvenBkd Lays BBQ .875oz,Oven Baked Lays BBQ (.875oz)
,BalanceCarbWell ChocPB Br 1.76oz,Balance Carb-Well Chocolate Peanut Butter Bar (1.76oz)
Balance CkieDough1.76oz,Balance CkieDough1.76oz,Balance Cookie Dough Bar (1.76oz)
Balance Hny Pnut 1.76oz,Balance Hny Pnut 1.76oz,Balance Honey Peanut Bar (1.76oz)
BalanceYogrtHnyBr1.76oz,BalanceYogrtHnyBr1.76oz,Balance Yogurt Honey Peanut Bar (1.76oz)
Barbaras Chs Puffs 1oz,Barbaras Chs Puffs 1oz,Barbaras Cheese Puffs (1oz)
BarbarasChocChp 2.125oz,BarbarasChocChp 2.125oz,Barbaras Snackimals Cookie Chocolate Chip (2.125oz)
,zzzBarbaras Ckie Oatml 2.125oz,zzzBarbara's Snackimals Cookie Oatmeal (2.125oz)
Barbaras SnkVan 2.125oz,Barbaras SnkVan 2.125oz,Barbaras Snackimals Vanilla Cookie (2.125oz)
Bsil Cap Ckie 3oz,Bsil Cap Ckie 3oz,Basil's Cappuccino Cookie (3oz)
Belly Bear Hny Crkr 1oz,Belly Bear Hny Crkr 1oz,Mrs. GoodCookie Belly Bear Honey Graham Cracker (1oz)
BSB Dbl Choc Cck 4oz,BSB Dbl Choc Cck 4oz,Broad Street Bakery Double Chocolate Cupcake (4oz)
Bugles NChs .875oz,Bugles NChs .875oz,Bugles Nacho Cheese (.875oz)
,zzzChs Nips 100 Cal .74oz,zzzCheese Nips 100 Calorie (.74oz)
Clif BlderChoc Br 2.4oz,Clif BlderChoc Br 2.4oz,Clif Builders Chocolate Bar (2.4oz)
Clif ChocAlmdFdg 2.4oz,Clif ChocAlmdFdg 2.4oz,Clif Chocolate Almond Fudge Bar (2.4oz)
Clif Choc Brwne 2.4oz,Clif Choc Brwne 2.4oz,Clif Chocolate Brownie (2.4oz)
Clif Choc Chip Br 2.4oz,Clif Choc Chip Br 2.4oz,Clif Chocolate Chip Bar (2.4oz)
ClifChocChpPnutCru2.4oz,ClifChocChpPnutCru2.4oz,Clif Chocolate Chip Peanut Crunch Bar (2.4oz)
ClifBlderChocMint 2.4oz,ClifBlderChocMint 2.4oz,Clif Builders Chocolate Mint Bar (2.4oz)
ClifCoolMntChocBr 2.4oz,ClifCoolMntChocBr 2.4oz,Clif Cool Mint Chocolate Bar (2.4oz)
Clif BlderChoc PB 2.4oz,Clif BlderChoc PB 2.4oz,Clif Builders Chocolate Peanut Butter Bar (2.4oz)
ClifZBrChocBrwne 1.27oz,ClifZBrChocBrwne 1.27oz,Clif Z-Bar Organic Chocolate Brownie (1.27oz)
,Clodhoppers Choc 1.27oz,Clodhoppers Chocolate (1.27oz)
CHB BberryChsDan 4.25oz,CHB BberryChsDan 4.25oz,Cloverhill Blueberry Cheese Danish (4.25oz)
,zzzCHB Cher Chs Bear Claw 4oz,zzzCloverhill Cherry Cheese Bear Claw (4oz)
,zzzCHB Chs Rnd 4oz,zzzCloverhill Cheese Round (4oz)
CHB Iced Hny Bun 4.75oz,CHB Iced Hny Bun 4.75oz,Cloverhill Jumbo Iced Honey Bun (4.75oz)
,zzzCHB Sberry Chs Bear Claw 4oz,zzzCloverhill Strawberry Cheese Bear Claw (4oz)
zzzComboChedChsPre1.8oz,zzzComboChedChsPre1.8oz,zzzCombos Cheddar Cheese Pretzel (1.8oz)
,Dirty Chips Hny Mustard 2oz,Dirty Chips Honey Mustard (2oz)
DirtyChpMesqBBQ 2oz,DirtyChpMesqBBQ 2oz,Dirty Chips Mesquite BBQ (2oz)
,Doritos Chs Gldn Tst Crkr,Doritos Cheese Golden Toast Cracker
Doritos NChs 1oz,Doritos NChs 1oz,Doritos Nacho Cheese (1oz)
Doritos NChs 1.75oz,Doritos NChs 1.75oz,Doritos Nacho Cheese (1.75oz)
Doritos RF NChs 1oz,Doritos RF NChs 1oz,Doritos Reduced Fat Nacho Cheese (1oz)
Duchess Hny Bun 3oz,Duchess Hny Bun 3oz,Duchess Honey Bun (3oz)
O'Boy Honey Bun 3oz,O'Boy Honey Bun 3oz,Duchess OBoy Honey Bun (3oz)
EarlChedChsPcorn1.375oz,EarlChedChsPcorn1.375oz,Earls Cheddar Cheese Popcorn (1.375oz)
FAmos Choc Chp 2 oz,FAmos Choc Chp 2 oz,Famous Amos Chocolate Chip Cookies (2oz)
FAmos Choc Chp 3oz,FAmos Choc Chp 3oz,Famous Amos Chocolate Chip Cookies (3oz)
